Type,District,avg_price,avg_area,count,avg_price_per_m2
Apartment,Faro,331623.2978723404,1435.8191489361702,94,230.96453207080248
Building,Faro,1043333.3333333334,530.6666666666666,3,1966.0804020100504
Duplex,Faro,325750.0,513.5,2,634.3719571567673
Farm,Faro,897500.0,36614.25,4,24.51231419461002
House,Faro,1005367.7419354839,16487.145161290322,62,60.97888579861339
Investment,Faro,165000.0,173.0,1,953.7572254335261
Land,Faro,585795.4545454546,29010.0,22,20.19288019805083
Office,Faro,250000.0,74.0,1,3378.3783783783783
Other - Residential,Faro,115000.0,75.0,1,1533.3333333333333
Store,Faro,416857.14285714284,524.2142857142857,14,795.2037062270065
Transfer of lease,Faro,139900.0,120.0,1,1165.8333333333333
